journal;Total_Autores;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
"IEEE Trans. Knowl. Data Eng.";6224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;91;122;120;244;184;185;215;176;187;182;182;205;257;328;359;408;381;365;407;397;419;442;277
"Computer Physics Communications";6211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;645;420;694;612;945;770;1145;595
"J. Cognitive Neuroscience";6097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;599;689;647;712;742;933;1301;474
"Computers & Graphics";6005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;6;55;41;31;22;0;56;92;93;76;72;94;146;141;127;126;122;177;222;204;233;226;160;203;210;251;220;239;267;268;271;230;205;229;293;394;111
"Image Vision Comput.";5991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;33;49;49;72;60;86;74;87;182;153;162;145;165;186;216;231;237;240;225;257;284;276;318;462;418;493;490;205;84
"Comput. J.";5990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;102;138;106;96;94;97;99;89;103;104;94;108;104;88;91;131;142;143;142;148;131;107;157;165;178;134;149;118;121;129;88;126;118;109;140;165;130;173;123;229;389;457;134
"Fuzzy Sets and Systems";5960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703;563;521;490;557;493;449;482;539;456;433;274
"J. Comb. Theory; Ser. A";5953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;111;113;106;101;97;106;114;102;111;80;113;102;111;123;157;111;113;122;102;127;138;111;146;150;203;165;106;156;146;193;191;176;160;150;256;177;222;194;177;320;142
"Softw.; Pract. Exper.";5893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;47;48;57;52;74;92;85;139;132;141;134;143;151;148;129;100;139;113;142;148;114;145;142;155;144;142;184;160;190;159;179;183;173;206;228;183;194;202;164;266;132
"ACM Trans. Graph.";5849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;23;31;26;22;18;26;31;40;28;33;38;32;42;34;33;25;36;22;30;254;362;357;473;420;478;684;704;699;750;73
