conference,num_autores
"FSKD (5)",788
"ITCC (1)",787
ANLP,786
CAEPIA,784
INFOVIS,783
ICE-B,782
ACSD,782
Web3D,782
EuroSys,782
SETN,781
COMSNETS,781
OR,779
ATC,779
FPT,779
ICDCIT,778
ICSAMOS,776
DAIS,775
"ECCV (3)",774
ECCE,773
TCC,772
"KES (4)",770
ICOST,770
ISPEC,770
"ICC (1)",770
EWSN,769
"CSEDU (1)",768
FAST,767
SERVICES,767
SACMAT,766
"ICMCS, Vol. 2",765
"ICIAR (1)",763
IWDC,762
ADHOC-NOW,761
"HCI (5)",761
"Software Engineering",760
"Evolvable Hardware",760
"CSSE (3)",759
EDOCW,758
"HCI (13)",756
"Symposium on Solid Modeling and Applications",756
CCNC,754
"IASTED PDCS",754
ICDSC,753
"PAM ",753
BWCCA,752
SIES,752
CISST,751
"IEEE METRICS",749
APBC,749
iConference,749
CEC/EEE,747
COORDINATION,746
RAID,745
ICCI,745
"HCI (10)",744
SOCA,744
CASoN,743
"IGARSS (1)",743
